S,Feedback,Sentiment
441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
854,Comfortable in my hand.,1
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
474,The delivery was on time.,1
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
932,[...] down the drain because of a weak snap!,0
173,The iGo chargers and tips are really great.,1
707,This is cool because most cases are just open there allowing the screen to get all scratched up.,1
535,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0
991,Painful on the ear.,0
97,I found this product to be waaay too big.,0
347,Good audio quality.,1
37,Poor Talk Time Performance.,0
288,Poorly contstruct hinge.,0
609,It fits my ear well and is comfortable on.,1
51,good protection and does not make phone too bulky.,1
654,"The charger arrived within the promised timeframe, but it did not work.",0
774,"Excellent sound, battery life and inconspicuous to boot!.",1
394,I highly recommend these and encourage people to give them a try.,1
821,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1
439,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
841,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0
936,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0
169,One thing I hate is the mode set button at the side.,0
395,Better than you'd expect.,1
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0
590,Sprint - terrible customer service.,0
768,Great product.,1
271,Worked perfectly!,1
812,Battery charge-life is quite long.,1
318,I want my money back.,0
86,This phone works great.,1
494,Pretty piece of junk.,0
653,Utter crap.. Sound quality is TERRIBLE.,0
219,I'm still infatuated with this phone.,1
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
622,This is a great product..... sure beats using your fingers!.,1
22,The commercials are the most misleading.,0
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
676,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0
208,Good transmit audio.,1
207,I've had this for nearly 2 years and it has worked great for me.,1
266,Returned 8 hours later.,0
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
272,Unreliable - I'm giving up.,0
383,After trying many many handsfree gadgets this is the one that finally works well.,1
790,NOT WHAT I WANTED.,0
123,Bad Quality.,0
824,Awkward to use and unreliable.,0
573,I am very happy,1
825,The shipping time was also very quick!,1
539,none of the new ones have ever quite worked properly.,0
992,Lasted one day and then blew up.,0
837,I don't like this Nokia either.,0
661,I'm happy about this purchase- good quality and low price.,1
311,The instruction manual is lacking.,0
598,This is a great phone!.,1
449,There's really nothing bad I can say about this headset.,0
199,"useless phone, simply deaf.",0
483,You won't regret it!,1
346,Reception is terrible and full of static.,0
193,I have had problems wit hit dropping signal and more.,0
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
168,doesn't last long.,0
862,So far it has worked like a charm.,1
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1
44,Excellent bluetooth headset.,1
611,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
509,"As an earlier review noted, plug in this charger and nothing happens.",0
209,We are sending it back.,0
214,fast service.,1
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,1
510,This frog phone charm is adorable and very eye catching.,1
133,!I definitly recommend!!,1
363,"bad fit, way too big.",0
270,"Not only will it drain your player, but may also potentially fry it.",0
306,Has been working great.,1
390,Exactly what I wanted.,1
979,Not enough volume.,0
977,":-)Oh, the charger seems to work fine.",1
373,The worst phone I've ever had.... Only had it for a few months.,0
458,Very well made and fits my Surefire GX2 perfectly.,1
322,The Ngage is still lacking in earbuds.,0
905,Not nearly as good looking as the AMAZON picture makes it look.,0
875,This is by far the worst purchase I've made on Amazon.,0
592,THey are so cool!,1
134,Buyer--Be Very Careful!!!!!.,0
853,These products cover up the important light sensor above the ear outlet.,0
354,Excellent starter wireless headset.,0
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0
834,"However, the ear pads come off easily and after only one week I lost one.",0
934,"You get extra minutes so that you can carry out the call and not get cut off.""",1
404,don't waste your money and time.,0
264,THAT one didn't work either.,0
903,I love being able to use one headset for both by land-line and cell.,1
786,They work about 2 weeks then break.,0
486,Its not user friendly.,0
625,Very Dissapointing Performance.,0
386,Poor sound quality.,0
894,This product is very High quality Chinese CRAP!!!!!!,0
117,It is very comfortable on the ear.,1
972,Earbud piece breaks easily.,0
75,Love this product.,1
149,"After 3 months, screen just went black all of a sudden.",0
744,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
282,"First of all, it doesn't wear well.",0
809,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1
82,"Well packaged, arrived on time, and works as intended.",1
813,The Jabra EarGels fit my ears very well.,1
913,Couldn't figure it out,0
857,(It works!),1
792,Great Phone.,1
750,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1
556,Great product for the price!.,1
971,Excellent product.,1
429,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1
605,This is infuriating.,0
542,"Perhaps my phone is defective, but people cannot hear me when I use this.",0
633,You get what you pay for I guess.,0
861,It was a waste of my money.,0
76,Do Not Buy for D807...wrongly advertised for D807.,0
981,you could only take 2 videos at a time and the quality was very poor.,0
662,I love the look and feel of Samsung flipphones.,1
126,Basically the service was very bad.,0
508,great...no problems at all!.,1
703,lightweight and works well.,1
544,"sucked, most of the stuff does not work with my phone.",0
85,The headsets are easy to use and everyone loves them.,1
73,Nice docking station for home or work.,1
406,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
793,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
350,Were JERKS on the phone.,0
102,Definitely a bargain.,1
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
931,This pair of headphones is the worst that I have ever had sound-wise.,0
300,Sending it back.,0
16,I advise EVERYONE DO NOT BE FOOLED!,0
791,I own 2 of these cases and would order another.,1
915,So I had to take the battery out of the phone put it all back together and then restart it.,0
924,Works good.,1
430,Fantastic earphones.,1
639,Disappointing accessory from a good manufacturer.,0
222,"Simple, lightweight and great fit.",1
403,Very pleased with this headset.,1
761,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
18,Works great!.,1
464,poor voice clarity.,0
400,what a disappointment,0
113,"Great product, fast shipping!.",1
820,Plan on ordering from them again and again.,1
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
606,"Overall, I would recommend this phone over the new Walkman.",1
668,Much less than the jawbone I was going to replace it with.,1
366,Waste of money.,0
775,Great bluetooth!.,1
298,Customer service was terrible.,0
985,"There was so much hype over this phone that I assumed it was the best, my mistake.",0
925,Motorola finally got the voice quality of a bluetooth headset right.,1
687,i would advise to not purchase this item it never worked very well.,0
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
720,"Good value, works fine - power via USB, car, or wall outlet.",1
470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
452,"My colleague & I now get great reception.A little expensive, but performance is great.",1
240,Big Disappointment with calendar sync.,0
178,It only recognizes the Phone as its storage device.,0
287,Piece of Junk.,0
624,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1
565,Disapointing Results.,0
651,I found the product to be easy to set up and use.,1
100,Integrated seamlessly with the Motorola RAZR phone.,1
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
893,Bad Reception.,0
17,So Far So Good!.,1
715,The phone crashed completely and now I have to get it replaced.,0
139,Voice recognition is tremendous!,1
533,So I basically threw my money out the window for nothing.,0
267,It's a great item.,1
591,Linked to my phone without effort.,1
635,im surprised this is a good quality car charger and there's not much reviews about it.,1
725,I have always used corded headsets and the freedom from the wireless is very helpful.,1
702,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1
689,Works well.,1
871,I received my headset in good time and was happy with it.,1
502,Defective crap.,0
958,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1
32,It is unusable in a moving car at freeway speed.,0
970,I plugged it in only to find out not a darn thing worked.,0
929,As I said above....PRETTY USELESS!,0
201,All in all I think it was a good investment.,1
158,And I just love the colors!,1
223,"All in all, I'd expected a better consumer experience from Motorola.",0
735,"Provides good protection and looks classy, too.",1
64,You have to hold the phone at a particular angle for the other party to hear you clearly.,0
418,"Att is not clear, sound is very distorted and you have to yell when you talk.",0
952,Very satisifed with that.,1
830,Unfortunately it did not work.,0
451,Portable and it works.,1
87,The construction of the headsets is poor.,0
154,I've bought $5 wired headphones that sound better than these.,0
305,I received it quickly and it works great!!,1
986,You also cannot take pictures with it in the case because the lense is covered.,0
124,Gets the job done.,1
595,"What possesed me to get this junk, I have no idea...",0
781,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0
151,"Audio Quality is poor, very poor.",0
372,Battery life is also great!,1
148,Items stated as included from the description ARE NOT INCLUDED.,0
683,I love the ringtones because they are so upbeat!,1
740,I would highly recommend this product.,1
428,IT'S REALLY EASY.,1
211,"If you hate earbugs, avoid this phone by all means.",0
785,This allows the possibility of double booking for the same date and time after the first.,0
629,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
757,The nano stated it.My son was dissapointed.,0
965,I cannot make calls at certain places.,0
187,Great phone!.,1
245,Worth every penny.,1
436,I wish I could return the unit and get back my money.,0
612,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
726,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1
426,"every thing on phone work perfectly, she like it.",1
643,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1
348,This little device has transformed my organizational capability and made my life a whole lot easier.,1
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0
327,The plug did not work very well.,0
833,"My father has the V265, and the battery is dying.",0
545,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1
983,I am going to have to be the first to negatively review this product.,0
650,Battery is terrible.,0
596,Piece of trash.,0
503,I would have given no star if I was able.,0
727,"Other than that, the leather is nice and soft;   the fit is very tight;  the cut out for the face is a good shape.",1
806,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0
457,Nice solid keyboard.,1
293,DO NOT PURCHASE THIS PHONE.,0
795,Perfect for the PS3.,1
803,"If there is a wind, it is completely useless.",0
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
338,"It was an inexpensive piece, but I would still have expected better quality.",0
886,"I didn't want the clip going over the top of my ear, causing discomfort.",0
204,Battery lasts only a few hours.,0
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
714,Not worth it.,0
984,Adapter does not provide enough charging current.,0
172,How can that be?The audio quality is poor.,0
460,BT50 battery junk!.,0
637,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0
941,I have tried these cables with my computer and my iPod and it works just fine.,1
45,It has all the features I want,1
321,I ordered this product first and was unhappy with it immediately.,0
950,It is a joy to use.,1
988,"It didn't work, people can not hear me when I talk.",0
397,Great product and price.,1
980,Echo Problem....Very unsatisfactory,0
805,Does Not Work.,0
608,"It is cheap, and it feel and look just as cheap.",0
63,Buy a different phone - but not this.,0
659,"It felt too light and ""tinny."".",0
292,Excellent Phone.,1
610,It doesn't work in Europe or Asia.,0
907,How stupid is that?,0
381,"you can even take self portraits with the outside (exterior) display, very cool.",1
468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
316,We have gotten a lot of compliments on it.,1
295,This is hands down the best phone I've ever had.,1
764,wont work right or atleast for me.,0
976,SWEETEST PHONE!!!,1
119,)Setup couldn't have been simpler.,1
500,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1
917,Leopard Print is wonderfully wild!.,1
456,Timely shipment and quality product.,1
340,Excellent sound quality.,1
504,I wear glasses and it fits fine with them.,1
563,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0
584,Better than expected.,1
779,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
989,The text messaging feature is really tricky to use.,0
855,Just does not work.,0
420,Price is good too.,1
81,Not a good bargain.,0
518,The phone is sturdy and waterproof.,1
417,This is the first phone I've had that has been so cheaply made.,0
424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
835,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0
623,"Plus, I seriously do not believe it is worth its steep price point.",0
186,Design Flaw?.,0
145,I got this phone on reccomendation from a relative and I'm glad I did.,1
627,This phone might well be the worst I've ever had in any brand.,0
543,Don't buy this product.,0
94,Dont waste your money...,0
170,EXCELLENT SERVICE!!!!!!!!.,1
879,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1
877,Excellent!.,1
600,Their Research and Development division obviously knows what they're doing.,1
559,"None of it works, just don't buy it.",0
481,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
641,Very wind-resistant.,1
515,Mobile Phone Tools are a must have.,1
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
283,I am very impressed with this headset from Plantronics.,1
560,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
183,"I have this phone and it is a thorn in my side, I really abhor it.",0
647,Great phone.,1
297,This one works and was priced right.,1
425,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
407,Works great.,1
30,"This is a simple little phone to use, but the breakage is unacceptible.",0
243,"No additional ear gels provided, and no instructions whatsoever.",0
860,Last time buying from you.,0
380,Great Hands Free Device.,1
649,I'm pleased.,1
196,You'll love how thin it is.,1
589,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
506,I would not recommend this item to anyone.,0
738,The design is very good.4.,1
961,I was very impressed with the price of the cases.,1
575,"I can barely ever hear on it and am constantly saying ""what?""",0
493,I had Verizon 2 years ago and really liked their service.,1
899,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
631,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1
746,"stay away from this store, be careful.",0
526,"horrible, had to switch 3 times.",0
918,Works for me.,1
906,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1
203,The best electronics of the available FM Transmitters.,1
995,The screen does get smudged easily because it touches your ear and face.,0
29,Doesn't hold charge.,0
953,It didn't charge for me.,0
33,I have two more years left in this contract and I hate this phone.,0
392,This is a great deal.,1
530,Keep up the good work Amazon!!,1
895,It was quite comfortable in the ear.,1
818,Doesn't do the job.,0
966,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0
432,Low Quality.,0
114,Absolutely great.,1
58,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
230,The battery is completely useless to me.,0
674,Then I had to continue pairing it periodically since it somehow kept dropping.,0
960,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1
527,The noise shield is incrediable.,1
233,Great sound and service.,1
920,much better than the hard plastic cases.,1
475,Very easy to use.,1
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
231,What a big waste of time.,0
40,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1
889,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
553,"The seller is very understanding and patient, I would definitely buy from them again.",1
247,Nice headphones for the price and they work great!,1
759,Its the best headset I have used.,1
473,Great software for Motorolas.,1
670,its extremely slow and takes forever to do anything with it.,0
900,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0
876,Excellent dual-purpose headset.,1
5,I have to jiggle the plug to get it to line up right to get decent volume.,0
973,Lousy product.,0
413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
987,Phone falls out easily.,0
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
954,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1
472,Disappointment.. I hate anything that goes in my ear.,0
523,I had to go to a store and bought a new NOKIA phone which is working great.,1
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
748,Does not fit.,0
49,Disappointed with battery.,0
997,Item Does Not Match Picture.,0
263,Absolutel junk.,0
23,I have yet to run this new battery below two bars and that's three days without charging.,1
765,in addition it feels and  looks as if the phone is all lightweight cheap plastic.,0
827,Good case!.,1
872,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
435,Warning - Stay away.,0
564,Yet Plantronincs continues to use the same flawed charger design.,0
652,The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
878,Does not work for listening to music with the cingular 8125.,0
669,Setup went very smoothly.,1
42,Nice headset priced right.,1
690,The nokia CA-42 USB cable did not work with my phone.,0
919,"Saggy, floppy piece of junk.",0
794,"The internet access was fine, it the rare instance that it worked.",0
645,Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
628,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0
675,Can't upload ringtones from a third party.,0
922,Happy so far!.,1
664,Does everything it should and more.,1
521,Thanks again to Amazon for having the things I need for a good price!,1
540,I am glad I purchased it.,1
218,WORST PHONE EVER.,0
852,I have read other's reviews here but I haven't had any problem with it.,1
512,The sound is clear and the people I talk to on it are amazed at the quality too.,1
686,The instructions didn't explain that a microphone jack could be used.,0
341,Was not happy.,0
864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
465,The battery works great!,1
159,W810i is just SUPERB.,1
314,The battery is unreliable as well as the service use antena.,0
999,"You can not answer calls with the unit, never worked once!	",0
741,"Couldn't use the unit with sunglasses, not good in Texas!",0
362,"It is light, easy to use, and has very clear reception and transmission.",1
870,Works fine.,1
393,"Excellent product, I am very satisfied with the purchase.",1
897,Don't buy this product - It fails!.,0
640,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0
949,I had to purchase a different case.,0
804,Yes it's shiny on front side - and I love it!,1
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
840,It would take too long to describe how bad my customer service experience has been with Amazon.,0
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
495,Plug was the wrong size.,0
255,poor quality and service.,0
325,"good item, low price.",1
259,Great for using with your home stereo.,1
576,The battery life is highly unacceptable.,0
701,You can't beat the price on these.,1
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
388,It worked very well.,1
828,Doesn't Work.,0
753,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
673,"It is well made, easy to access the phone and has a handy, detachable belt clip.",1
582,"Voice Quality, Signal Strength, Dropped Calls.",0
978,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1
396,"Using all earpieces, left or right, this thing will not stay on my ear.",0
192,Lately they have been extremely nice and helpful on the phone.,1
59,The buttons for on and off are bad.,0
165,Great Value.,1
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
749,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1
810,Improper description.... I had to return it.,0
733,Arrived quickly and much less expensive than others being sold.,1
868,The item received was Counterfeit.,0
896,Great phone.,1
129,The BT headset was such a disapoinment.,0
421,Don't make the same mistake I did.,0
796,"Five star Plus, plus.",1
525,REALLY UGLY.,0
291,Don't buy it.,0
376,Protects the phone on all sides.,1
365,awesome device.,1
802,"Great price, too!",1
9,What a waste of money and time!.,0
356,The only thing that I think could improve is the sound leaks out from the headset.,0
326,"However-the riingtones are not the best, and neither are the games.",0
574,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1
789,I can't use this case because the smell is disgusting.,0
873,My sister has one also and she loves it.,1
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
258,Excellent hands free tool.,1
890,The speaker is of low quality so as making the ring tones sound very cheap.,0
756,It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
863,"I have only had it for a few weeks, but so far, so good.",1
194,Not impressed.,0
359,"The microphone also works well, but (according to people I have called) it applifies everything.",1
974,This phone tries very hard to do everything but fails at it's very ability to be a phone.,0
696,The phone can also take great pictures and even video clips.,1
96,If you plan to use this in a car forget about it.,0
411,I highly recommend this device to everyone!,1
111,This phone is slim and light and the display is beautiful.,1
72,Great choice!,1
682,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0
777,WORTHWHILE.,1
710,Can't store anything but phone numbers to SIM.,0
933,Does not charge the Cingular (ATT) 8525 phone.,0
811,#1 It Works - #2 It is Comfortable.,1
517,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1
807,The reception through this headset is excellent.,1
147,Its reception is very very poor.,0
127,it did not work in my cell phone plug i am very up set with the charger!.,0
278,"Best of all is the rotating feature, very helpful.",1
137,My headset works just peachy-keen.,1
447,Very happy with this product.,1
405,I especially love the long battery life.,1
938,Logitech Bluetooth Headset is a 10!.,1
665,I could not recommend these more.,0
528,No real improvement.,0
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
131,The accompanied software is almost brilliant.,1
930,Never got it!!!!!,0
541,I've missed numerous calls because of this reason.,0
212,Great price also!,1
499,WELL IM SATISFIED.,1
10,And the sound quality is great.,1
724,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
942,"The mic there is a joke, and the volume is quite low.",0
370,"I'll be drivng along, and my headset starts ringing for no reason.",0
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
415,"I have used several phone in two years, but this one is the best.",1
536,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1
814,Battery has no life.,0
817,Gets a signal when other Verizon phones won't.,1
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
440,Very Displeased.,0
262,Works great.,1
74,This is a beautiful phone.,1
36,It has kept up very well.,1
911,So I bought about 10 of these and saved alot of money.,1
945,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
319,I love this device.,1
734,We have tried 2 units and they both failed within 2 months.. Pros,0
92,Worked great!.,1
885,"When it opens, the battery connection is broken and the device is turned off.",0
8,"Needless to say, I wasted my money.",0
360,Nice design and quality.,1
140,What a waste.,0
882,The only good thing was that it fits comfortably on small ears.,1
